MktCoupons,Quarter,Origin,OriginWac,Dest,DestWac,Miles,ContiguousUSA,NumTicketsOrdered,AirlineCompany,PricePerTicket
2,1,MCO,33,SAT,74,1041.0,2,1.0,WN,168.0
1,2,ORF,38,DEN,82,1553.0,2,1.0,UA,481.0
1,4,MCO,33,CLE,44,895.0,2,1.0,WN,142.5
1,1,MIA,33,PHX,81,1972.0,2,1.0,AA,198.0
1,3,PHX,81,DAL,74,879.0,2,1.0,WN,198.64
1,1,PDX,92,AUS,74,1715.0,2,3.0,AS,153.0
1,4,FLL,33,TTN,21,1026.0,2,1.0,F9,82.0
1,1,BWI,35,ORD,41,622.0,2,2.0,UA,97.5
1,4,PBI,33,LGA,22,1035.0,2,1.0,B6,149.39
1,3,EWR,21,IAH,74,1400.0,2,1.0,UA,326.5
1,4,ATL,34,BWI,35,577.0,2,2.0,NK,169.0
1,1,FLL,33,MSP,63,1487.0,2,2.0,NK,105.0
2,1,CMH,44,SEA,93,2016.0,2,4.0,WN,168.0
1,2,IAH,74,LAS,85,1222.0,2,1.0,UA,416.5
1,2,FLL,33,BWI,35,925.0,2,3.0,WN,69.0
1,4,BOS,13,PHX,81,2300.0,2,1.0,B6,309.5
1,1,EWR,21,SFO,91,2565.0,2,6.0,UA,243.5
1,3,TPA,33,MCI,64,1048.0,2,4.0,WN,140.0
1,1,IAD,38,LAX,91,2288.0,2,1.0,UA,372.0
2,1,LIH,2,ITO,2,318.0,1,1.0,HA,118.0
1,1,LGA,22,MIA,33,1096.0,2,3.0,AA,62.5
1,4,SDF,52,ATL,34,321.0,2,1.0,DL,387.5
1,2,LAS,85,BUR,91,223.0,2,10.0,WN,114.0
1,2,DEN,82,FLL,33,1703.0,2,2.0,WN,286.5
1,1,PBI,33,JFK,22,1028.0,2,1.0,B6,222.5
1,2,MCO,33,DEN,82,1546.0,2,1.0,UA,392.5
1,1,MSP,63,BOS,13,1124.0,2,2.0,DL,100.0
1,4,MSY,72,LAX,91,1670.0,2,1.0,DL,199.0
1,1,PHX,81,BWI,35,1999.0,2,1.0,AA,531.55
1,2,SLC,87,ABQ,86,493.0,2,1.0,WN,247.9
1,1,HOU,74,BOS,13,1609.0,2,1.0,WN,79.0
1,1,BWI,35,MCO,33,787.0,2,1.0,B6,129.0
1,4,SJU,3,EWR,21,1608.0,1,3.0,B6,323.0
2,1,SJU,3,MSY,72,1720.0,1,4.0,NK,71.0
1,3,RDU,36,ATL,34,356.0,2,1.0,WN,159.0
1,4,PHX,81,SDF,52,1506.0,2,2.0,WN,449.0
1,2,LAX,91,OGG,2,2486.0,1,2.0,HA,498.0
1,2,ORD,41,IAH,74,925.0,2,1.0,UA,423.5
1,1,MSP,63,PHX,81,1276.0,2,12.0,WN,153.5
1,1,AUS,74,MDW,41,972.0,2,1.0,WN,130.83
1,1,IAH,74,MCO,33,854.0,2,1.0,NK,98.45
1,4,PHX,81,COS,82,551.0,2,2.0,F9,73.5
1,4,PGD,33,SYR,22,1164.0,2,1.0,G4,177.0
2,4,HSV,51,SLC,87,1439.0,2,2.0,F9,119.5
1,1,MKE,45,MCO,33,1066.0,2,8.0,WN,400.5
1,3,FLL,33,IAD,38,901.0,2,1.0,WN,80.0
1,2,MEM,54,DFW,74,431.0,2,4.0,AA,348.0
1,2,FLL,33,LAX,91,2343.0,2,1.0,B6,231.5
1,3,TPA,33,LGA,22,1010.0,2,3.0,DL,211.0
1,3,LGA,22,FLL,33,1076.0,2,1.0,DL,106.0
1,3,DEN,82,OAK,91,957.0,2,13.0,WN,204.5
1,3,DFW,74,DEN,82,641.0,2,1.0,UA,180.14
1,2,ORD,41,MIA,33,1197.0,2,2.0,UA,162.0
1,2,ORD,41,FLL,33,1182.0,2,5.0,UA,144.5
1,2,DLH,63,ORD,41,397.0,2,1.0,UA,163.0
1,1,DCA,38,MSP,63,931.0,2,1.0,DL,248.0
1,1,SLC,87,IAH,74,1195.0,2,1.0,UA,260.5
1,3,IND,42,SFO,91,1943.0,2,1.0,UA,481.0
1,4,MSP,63,CLT,36,930.0,2,1.0,DL,399.0
1,3,DEN,82,CHS,37,1449.0,2,1.0,WN,128.0
1,1,OAK,91,LAS,85,407.0,2,2.0,WN,154.0
1,3,DEN,82,SNA,91,846.0,2,1.0,WN,299.0
1,4,SLC,87,BWI,35,1865.0,2,1.0,DL,393.0
1,1,LGA,22,BOS,13,184.0,2,1.0,B6,189.0
1,4,JFK,22,HOU,74,1428.0,2,1.0,B6,124.5
1,2,PHL,23,SJU,3,1576.0,1,5.0,AA,280.0
1,4,PHX,81,OKC,73,833.0,2,1.0,WN,97.49
1,2,IAD,38,MCO,33,758.0,2,1.0,WN,112.5
1,2,SFO,91,LAX,91,337.0,2,1.0,AS,110.5
1,4,EWR,21,SEA,93,2402.0,2,2.0,AS,309.0
1,3,DAL,74,ATL,34,721.0,2,1.0,WN,167.5
1,3,MCO,33,PIT,23,834.0,2,1.0,WN,261.5
1,4,LAX,91,RDU,36,2239.0,2,1.0,DL,184.0
1,4,LIT,71,SFB,33,765.0,2,2.0,G4,73.5
1,4,ATL,34,JAX,33,270.0,2,2.0,DL,142.5
1,2,IAH,74,SEA,93,1874.0,2,2.0,UA,136.0
1,2,SDF,52,SAV,34,489.0,2,1.0,G4,52.0
1,3,ORD,41,EWR,21,719.0,2,1.0,AA,308.99
1,1,DTW,43,MSP,63,528.0,2,1.0,DL,380.0
1,4,CVG,52,LAX,91,1900.0,2,14.0,G4,72.0
1,4,ATL,34,DTW,43,594.0,2,1.0,DL,395.0
1,4,ORD,41,ATL,34,606.0,2,2.0,UA,60.0
1,2,JFK,22,SYR,22,209.0,2,1.0,B6,165.0
1,1,JFK,22,BUF,22,301.0,2,4.0,B6,75.5
1,4,MCO,33,LAX,91,2218.0,2,1.0,UA,205.0
1,2,JFK,22,ORD,41,740.0,2,2.0,AA,123.0
1,2,MSY,72,SLC,87,1428.0,2,1.0,DL,256.5
1,3,SEA,93,JNU,1,909.0,1,2.0,AS,500.0
1,1,FLL,33,DFW,74,1119.0,2,1.0,AA,294.0
1,2,OAK,91,LAX,91,337.0,2,2.0,WN,252.5
1,4,EWR,21,FLL,33,1065.0,2,1.0,B6,526.0
1,2,MCI,64,MKE,45,436.0,2,1.0,WN,257.5
1,3,DTW,43,CLT,36,500.0,2,3.0,AA,167.5
1,4,TPA,33,MDW,41,997.0,2,8.0,WN,326.5
1,2,MCO,33,IAH,74,854.0,2,4.0,NK,52.0
1,2,IND,42,LAX,91,1814.0,2,1.0,AA,195.08
1,4,MSP,63,SFO,91,1589.0,2,1.0,UA,213.5
1,4,BWI,35,CMH,44,337.0,2,2.0,WN,117.5
1,4,MEM,54,MDW,41,480.0,2,1.0,WN,245.5
1,1,DTW,43,JFK,22,509.0,2,1.0,DL,265.0
1,3,ABQ,86,DAL,74,580.0,2,1.0,WN,319.0
1,1,SFO,91,SAN,91,447.0,2,1.0,WN,220.0
1,3,CVG,52,MSY,72,701.0,2,1.0,G4,109.5
1,3,ATL,34,LAX,91,1947.0,2,1.0,DL,295.5
1,2,SEA,93,KOA,2,2688.0,1,20.0,AS,172.5
1,3,MSY,72,LAX,91,1670.0,2,1.0,DL,544.5
1,2,SLC,87,PHL,23,1927.0,2,2.0,DL,182.0
1,3,TPA,33,BOS,13,1185.0,2,3.0,B6,126.0
1,4,DFW,74,MCO,33,985.0,2,3.0,NK,67.0
1,1,ATL,34,AUS,74,813.0,2,4.0,DL,254.0
1,4,OAK,91,BUR,91,325.0,2,3.0,WN,203.0
1,4,SEA,93,EWR,21,2402.0,2,1.0,AS,465.32
1,3,JFK,22,OAK,91,2576.0,2,1.0,B6,161.5
1,2,LAX,91,JFK,22,2475.0,2,1.0,B6,433.0
1,1,LAX,91,DEN,82,862.0,2,1.0,WN,144.4
1,4,IAH,74,ORD,41,925.0,2,4.0,NK,51.0
1,4,JFK,22,SEA,93,2422.0,2,2.0,B6,221.5
1,4,MCO,33,JFK,22,944.0,2,5.0,B6,106.9
2,4,RIC,38,MSY,72,906.0,2,1.0,WN,144.0
1,1,DAL,74,MCI,64,460.0,2,1.0,WN,150.0
1,2,FLL,33,LGA,22,1076.0,2,1.0,NK,96.5
1,3,FLL,33,EWR,21,1065.0,2,10.0,NK,71.0
1,4,FLL,33,IAH,74,966.0,2,5.0,UA,52.0
2,1,LAX,91,MSP,63,1535.0,2,1.0,DL,754.0
1,4,SFB,33,SDF,52,698.0,2,1.0,G4,86.5
1,2,LIH,2,LAX,91,2615.0,1,1.0,DL,310.0
1,4,SFO,91,ATL,34,2139.0,2,1.0,DL,461.2
1,2,MCO,33,PDX,92,2534.0,2,1.0,AS,483.0
1,4,ATL,34,BDL,11,859.0,2,4.0,DL,182.0
